,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
603,603,315068,阿拉伯语,2020,上海,综合改革,2,548.0,548.0,548.0,普通招生,提前批
604,604,315069,德语,2020,上海,综合改革,1,549.0,549.0,549.0,普通招生,提前批
605,605,315070,西班牙语,2020,上海,综合改革,1,555.0,555.0,555.0,普通招生,提前批
606,606,315347,经济学类(国际经济与贸易、财政学、税收学),2020,上海,综合改革,3,562.0,556.0,558.0,普通招生,本科一批
607,607,315348,金融学类(金融学(国际金融与市场)、经济与金融),2020,上海,综合改革,2,558.0,557.0,557.5,普通招生,本科一批
608,608,315349,国际经济与贸易(国际组织人才基地班),2020,上海,综合改革,3,556.0,555.0,555.7,普通招生,本科一批
609,609,315350,金融学,2020,上海,综合改革,4,563.0,556.0,558.0,普通招生,本科一批
610,610,315351,金融工程,2020,上海,综合改革,3,559.0,557.0,557.7,普通招生,本科一批
611,611,315352,金融工程(量化金融实验班),2020,上海,综合改革,2,559.0,559.0,559.0,普通招生,本科一批
612,612,315353,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,上海,综合改革,2,561.0,556.0,558.5,普通招生,本科一批
