,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
325,325,373504,经济学类(国际经济与贸易、财政学、税收学),2021,云南,文史/历史类,4,660.0,654.0,暂无数据,普通招生,本科一批
326,326,373505,金融学类(金融学(国际金融与市场)、经济与金融),2021,云南,文史/历史类,2,666.0,662.0,暂无数据,普通招生,本科一批
327,327,373506,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,云南,文史/历史类,4,653.0,650.0,暂无数据,普通招生,本科一批
328,328,373507,外国语言文学类(商务英语、翻译、英语),2021,云南,文史/历史类,3,650.0,649.0,暂无数据,普通招生,本科一批
329,329,373508,法学类(法学),2021,云南,文史/历史类,3,653.0,651.0,暂无数据,普通招生,本科一批
330,330,373509,政治学类(国际政治、政治学与行政学),2021,云南,文史/历史类,3,651.0,649.0,暂无数据,普通招生,本科一批
331,331,373510,金融学类(金融学(国际金融与市场)、经济与金融),2021,云南,理工/物理类,5,649.0,639.0,暂无数据,普通招生,本科一批
332,332,373511,投资学,2021,云南,理工/物理类,2,653.0,640.0,暂无数据,普通招生,本科一批
333,333,373512,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,云南,理工/物理类,5,653.0,629.0,暂无数据,普通招生,本科一批
334,334,373513,电子商务类(电子商务、信息管理与信息系统),2021,云南,理工/物理类,6,636.0,628.0,暂无数据,普通招生,本科一批
335,335,373514,保险学,2021,云南,理工/物理类,1,628.0,628.0,暂无数据,普通招生,本科一批
336,336,373515,精算学,2021,云南,理工/物理类,2,636.0,635.0,暂无数据,普通招生,本科一批
