,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
517,517,315176,俄语,2020,内蒙古,文科,2,631.0,626.0,628.0,普通招生,提前批
518,518,315381,经济学类(国际经济与贸易、财政学、税收学),2020,内蒙古,文科,2,636.0,634.0,635.0,普通招生,本科一批
519,519,315382,金融学类(金融学(国际金融与市场)、经济与金融),2020,内蒙古,文科,2,639.0,633.0,636.0,普通招生,本科一批
520,520,315383,金融学,2020,内蒙古,文科,2,639.0,637.0,638.0,普通招生,本科一批
521,521,315384,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,内蒙古,文科,4,634.0,630.0,632.0,普通招生,本科一批
522,522,315437,物流管理,2020,内蒙古,文科,1,611.0,611.0,611.0,国家专项,国家专项
523,523,315438,政治学类(国际政治、政治学与行政学),2020,内蒙古,文科,1,603.0,603.0,603.0,国家专项,国家专项
524,524,315506,朝鲜语,2020,内蒙古,理科,1,614.0,614.0,614.0,普通招生,提前批
525,525,315725,经济学类(国际经济与贸易、财政学、税收学),2020,内蒙古,理科,1,641.0,641.0,641.0,普通招生,本科一批
526,526,315726,金融学类(金融学(国际金融与市场)、经济与金融),2020,内蒙古,理科,2,641.0,609.0,625.0,普通招生,本科一批
527,527,315727,金融学,2020,内蒙古,理科,3,653.0,647.0,649.0,普通招生,本科一批
528,528,315728,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,内蒙古,理科,3,636.0,609.0,618.0,普通招生,本科一批
529,529,315729,保险学,2020,内蒙古,理科,2,618.0,609.0,613.0,普通招生,本科一批
530,530,315730,精算学,2020,内蒙古,理科,2,643.0,637.0,640.0,普通招生,本科一批
531,531,315731,金融数学,2020,内蒙古,理科,2,644.0,643.0,643.0,普通招生,本科一批
532,532,315794,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,内蒙古,理科,1,620.0,620.0,620.0,国家专项,国家专项
533,533,315795,法学类(法学),2020,内蒙古,理科,1,636.0,636.0,636.0,国家专项,国家专项
534,534,315796,电子商务类(电子商务、信息管理与信息系统),2020,内蒙古,理科,1,614.0,614.0,614.0,国家专项,国家专项
