,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
403,403,315136,阿拉伯语,2020,北京,综合改革,2,643.0,642.0,642.5,普通招生,提前批
404,404,315137,法语,2020,北京,综合改革,5,653.0,644.0,647.0,普通招生,提前批
405,405,315138,德语,2020,北京,综合改革,4,649.0,644.0,647.0,普通招生,提前批
406,406,315139,意大利语,2020,北京,综合改革,3,643.0,643.0,643.0,普通招生,提前批
407,407,315140,日语,2020,北京,综合改革,4,651.0,644.0,648.0,普通招生,提前批
408,408,315141,朝鲜语,2020,北京,综合改革,1,642.0,642.0,642.0,普通招生,提前批
409,409,315142,俄语,2020,北京,综合改革,1,642.0,642.0,642.0,普通招生,提前批
410,410,315143,西班牙语,2020,北京,综合改革,4,654.0,647.0,649.8,普通招生,提前批
411,411,315144,葡萄牙语,2020,北京,综合改革,3,649.0,646.0,647.0,普通招生,提前批
412,412,315274,经济学类(国际经济与贸易、财政学、税收学),2020,北京,综合改革,18,667.0,652.0,655.6,普通招生,本科一批
413,413,315275,金融学类(金融学(国际金融与市场)、经济与金融),2020,北京,综合改革,19,670.0,654.0,658.6,普通招生,本科一批
414,414,315276,国际经济与贸易(国际组织人才基地班),2020,北京,综合改革,5,670.0,663.0,665.4,普通招生,本科一批
415,415,315277,金融学,2020,北京,综合改革,29,669.0,657.0,660.7,普通招生,本科一批
416,416,315278,金融工程,2020,北京,综合改革,4,669.0,664.0,665.8,普通招生,本科一批
417,417,315279,投资学,2020,北京,综合改革,10,663.0,655.0,657.0,普通招生,本科一批
418,418,315280,金融工程(量化金融实验班),2020,北京,综合改革,5,674.0,666.0,668.4,普通招生,本科一批
419,419,315281,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,北京,综合改革,25,660.0,650.0,653.3,普通招生,本科一批
420,420,315282,法学类(法学),2020,北京,综合改革,9,670.0,653.0,660.0,普通招生,本科一批
421,421,315283,保险学,2020,北京,综合改革,6,655.0,655.0,655.0,普通招生,本科一批
422,422,315617,精算学,2020,北京,综合改革,9,655.0,652.0,653.1,普通招生,本科一批
423,423,315618,金融数学,2020,北京,综合改革,4,664.0,656.0,659.5,普通招生,本科一批
424,424,315619,经济统计学,2020,北京,综合改革,9,660.0,652.0,654.1,普通招生,本科一批
