,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1320,1320,230594,俄语,2019,吉林,文科,2,604.0,599.0,601.0,普通招生,提前批
1321,1321,230595,德语,2019,吉林,文科,1,617.0,617.0,617.0,普通招生,提前批
1322,1322,230596,法语,2019,吉林,文科,1,610.0,610.0,610.0,普通招生,提前批
1323,1323,230597,西班牙语,2019,吉林,文科,1,613.0,613.0,613.0,普通招生,提前批
1324,1324,230598,朝鲜(韩)语,2019,吉林,文科,2,608.0,597.0,602.0,普通招生,提前批
1325,1325,230167,经济学类(国际经济与贸易、财政学、税收学),2019,吉林,文科,3,627.0,619.0,622.0,普通招生,本科一批
1326,1326,230168,金融学类(金融学(国际金融与市场)、经济与金融),2019,吉林,文科,2,619.0,618.0,618.0,普通招生,本科一批
1327,1327,230169,金融学类(金融学、金融工程、投资学),2019,吉林,文科,2,625.0,623.0,624.0,普通招生,本科一批
1328,1328,230170,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,吉林,文科,3,620.0,618.0,619.0,普通招生,本科一批
1329,1329,230171,法学类(法学),2019,吉林,文科,3,617.0,614.0,615.0,普通招生,本科一批
1330,1330,230657,俄语,2019,吉林,理科,1,626.0,626.0,626.0,普通招生,提前批
1331,1331,230658,西班牙语,2019,吉林,理科,1,642.0,642.0,642.0,普通招生,提前批
1332,1332,230659,朝鲜(韩)语,2019,吉林,理科,1,641.0,641.0,641.0,普通招生,提前批
1333,1333,230439,经济学类(国际经济与贸易、财政学、税收学),2019,吉林,理科,2,657.0,649.0,653.0,普通招生,本科一批
1334,1334,230440,金融学类(金融学(国际金融与市场)、经济与金融),2019,吉林,理科,2,657.0,652.0,654.0,普通招生,本科一批
1335,1335,230441,金融学类(金融学、金融工程、投资学),2019,吉林,理科,5,659.0,654.0,656.0,普通招生,本科一批
1336,1336,230442,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,吉林,理科,3,651.0,642.0,646.0,普通招生,本科一批
1337,1337,230443,法学类(法学),2019,吉林,理科,2,643.0,634.0,638.0,普通招生,本科一批
1338,1338,230444,数据科学与大数据技术,2019,吉林,理科,1,634.0,634.0,634.0,普通招生,本科一批
1339,1339,230445,电子商务类(电子商务、信息管理与信息系统),2019,吉林,理科,2,629.0,627.0,628.0,普通招生,本科一批
1340,1340,230446,保险学,2019,吉林,理科,1,640.0,640.0,640.0,普通招生,本科一批
1341,1341,230447,精算学,2019,吉林,理科,3,650.0,632.0,640.0,普通招生,本科一批
1342,1342,230448,公共管理类(海关管理、行政管理、公共事业管理),2019,吉林,理科,2,626.0,626.0,626.0,普通招生,本科一批
1343,1343,230449,金融数学,2019,吉林,理科,2,640.0,639.0,639.0,普通招生,本科一批
