,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1190,1190,230599,俄语,2019,天津,文科,2,604.0,603.0,603.0,普通招生,提前批
1191,1191,230600,德语,2019,天津,文科,2,613.0,612.0,612.0,普通招生,提前批
1192,1192,230601,法语,2019,天津,文科,1,618.0,618.0,618.0,普通招生,提前批
1193,1193,230602,西班牙语,2019,天津,文科,2,611.0,608.0,609.0,普通招生,提前批
1194,1194,230603,阿拉伯语,2019,天津,文科,1,603.0,603.0,603.0,普通招生,提前批
1195,1195,230604,朝鲜(韩)语,2019,天津,文科,2,606.0,603.0,604.0,普通招生,提前批
1196,1196,230605,意大利语,2019,天津,文科,1,606.0,606.0,606.0,普通招生,提前批
1197,1197,230023,经济学类(国际经济与贸易、财政学、税收学),2019,天津,文科,2,622.0,620.0,621.0,普通招生,本科一批
1198,1198,230024,国际经济与贸易(国际组织人才基地班),2019,天津,文科,1,630.0,630.0,630.0,普通招生,本科一批
1199,1199,230025,金融学类(金融学(国际金融与市场)、经济与金融),2019,天津,文科,2,624.0,622.0,623.0,普通招生,本科一批
1200,1200,230026,国际商务,2019,天津,文科,1,617.0,617.0,617.0,普通招生,本科一批
1201,1201,230027,金融学类(金融学、金融工程、投资学),2019,天津,文科,4,633.0,619.0,626.0,普通招生,本科一批
1202,1202,230028,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,天津,文科,5,620.0,616.0,617.0,普通招生,本科一批
1203,1203,230029,法学类(法学),2019,天津,文科,2,617.0,617.0,617.0,普通招生,本科一批
1204,1204,230030,保险学,2019,天津,文科,1,615.0,615.0,615.0,普通招生,本科一批
1205,1205,230031,经济统计学,2019,天津,文科,1,618.0,618.0,618.0,普通招生,本科一批
1206,1206,230660,德语,2019,天津,理科,1,654.0,654.0,654.0,普通招生,提前批
1207,1207,230661,西班牙语,2019,天津,理科,2,664.0,656.0,660.0,普通招生,提前批
1208,1208,230662,阿拉伯语,2019,天津,理科,2,648.0,648.0,648.0,普通招生,提前批
1209,1209,230663,日语,2019,天津,理科,1,668.0,668.0,668.0,普通招生,提前批
1210,1210,230664,朝鲜(韩)语,2019,天津,理科,1,648.0,648.0,648.0,普通招生,提前批
1211,1211,230665,意大利语,2019,天津,理科,1,658.0,658.0,658.0,普通招生,提前批
1212,1212,230247,国际经济与贸易(国际组织人才基地班),2019,天津,理科,2,675.0,675.0,675.0,普通招生,本科一批
1213,1213,230248,金融学类(金融学(国际金融与市场)、经济与金融),2019,天津,理科,2,676.0,676.0,676.0,普通招生,本科一批
1214,1214,230249,金融学类(金融学、金融工程、投资学),2019,天津,理科,2,683.0,680.0,681.0,普通招生,本科一批
1215,1215,230250,金融工程(量化金融实验班),2019,天津,理科,3,678.0,677.0,677.0,普通招生,本科一批
1216,1216,230251,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,天津,理科,1,673.0,673.0,673.0,普通招生,本科一批
1217,1217,230252,数据科学与大数据技术,2019,天津,理科,1,672.0,672.0,672.0,普通招生,本科一批
1218,1218,230253,精算学,2019,天津,理科,3,672.0,672.0,672.0,普通招生,本科一批
1219,1219,230254,经济统计学,2019,天津,理科,1,671.0,671.0,671.0,普通招生,本科一批
