,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1825,1825,230677,经济学类(国际经济与贸易、财政学、税收学),2019,宁夏,文科,3,633.0,629.0,631.0,普通招生,提前批
1826,1826,230678,金融学类(金融学(国际金融与市场)、经济与金融),2019,宁夏,文科,2,633.0,631.0,632.0,普通招生,提前批
1827,1827,230679,金融学类(金融学、金融工程、投资学),2019,宁夏,文科,3,635.0,630.0,633.0,普通招生,提前批
1828,1828,230680,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,宁夏,文科,4,630.0,625.0,627.0,普通招生,提前批
1829,1829,230681,法学类(法学),2019,宁夏,文科,3,629.0,628.0,629.0,普通招生,提前批
1830,1830,230682,外国语言文学类(商务英语、翻译、英语),2019,宁夏,文科,2,623.0,623.0,623.0,普通招生,提前批
1831,1831,230683,政治学类(国际政治、政治学与行政学),2019,宁夏,文科,2,625.0,622.0,624.0,普通招生,提前批
1832,1832,230684,经济学类(国际经济与贸易、财政学、税收学),2019,宁夏,理科,3,617.0,603.0,611.0,普通招生,提前批
1833,1833,230685,金融学类(金融学(国际金融与市场)、经济与金融),2019,宁夏,理科,2,626.0,613.0,620.0,普通招生,提前批
1834,1834,230686,金融学类(金融学、金融工程、投资学),2019,宁夏,理科,5,612.0,605.0,608.0,普通招生,提前批
1835,1835,230687,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,宁夏,理科,5,601.0,597.0,599.0,普通招生,提前批
1836,1836,230688,法学类(法学),2019,宁夏,理科,2,600.0,598.0,599.0,普通招生,提前批
1837,1837,230689,电子商务类(电子商务、信息管理与信息系统),2019,宁夏,理科,1,596.0,596.0,596.0,普通招生,提前批
1838,1838,230690,保险学,2019,宁夏,理科,1,598.0,598.0,598.0,普通招生,提前批
1839,1839,230691,精算学,2019,宁夏,理科,2,610.0,600.0,605.0,普通招生,提前批
1840,1840,230692,经济统计学,2019,宁夏,理科,1,601.0,601.0,601.0,普通招生,提前批
