,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
898,898,315081,法语,2020,广东,文科,2,606.0,605.0,605.0,普通招生,提前批
899,899,315082,德语,2020,广东,文科,2,606.0,605.0,605.0,普通招生,提前批
900,900,315083,日语,2020,广东,文科,2,605.0,603.0,604.0,普通招生,提前批
901,901,315084,朝鲜语,2020,广东,文科,1,603.0,603.0,603.0,普通招生,提前批
902,902,315085,西班牙语,2020,广东,文科,1,604.0,604.0,604.0,普通招生,提前批
903,903,315369,经济学类(国际经济与贸易、财政学、税收学),2020,广东,文科,3,616.0,615.0,615.0,普通招生,本科一批
904,904,315370,金融学类(金融学(国际金融与市场)、经济与金融),2020,广东,文科,2,616.0,616.0,616.0,普通招生,本科一批
905,905,315371,国际商务,2020,广东,文科,2,614.0,613.0,613.0,普通招生,本科一批
906,906,315372,金融学,2020,广东,文科,5,617.0,607.0,612.0,普通招生,本科一批
907,907,315373,投资学,2020,广东,文科,2,615.0,605.0,610.0,普通招生,本科一批
908,908,315374,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,广东,文科,8,616.0,604.0,609.0,普通招生,本科一批
909,909,315375,外国语言文学类(商务英语、翻译、英语),2020,广东,文科,3,607.0,604.0,605.0,普通招生,本科一批
910,910,315376,法学类(法学),2020,广东,文科,4,614.0,609.0,610.0,普通招生,本科一批
911,911,315377,公共管理类(海关管理、行政管理、公共事业管理),2020,广东,文科,3,604.0,604.0,604.0,普通招生,本科一批
912,912,315378,保险学,2020,广东,文科,2,609.0,605.0,607.0,普通招生,本科一批
913,913,315379,政治学类(国际政治、政治学与行政学),2020,广东,文科,2,603.0,603.0,603.0,普通招生,本科一批
914,914,315469,法语,2020,广东,理科,1,636.0,636.0,636.0,普通招生,提前批
915,915,315470,德语,2020,广东,理科,2,635.0,633.0,634.0,普通招生,提前批
916,916,315471,日语,2020,广东,理科,1,634.0,634.0,634.0,普通招生,提前批
917,917,315711,经济学类(国际经济与贸易、财政学、税收学),2020,广东,理科,3,650.0,649.0,649.0,普通招生,本科一批
918,918,315712,金融学类(金融学(国际金融与市场)、经济与金融),2020,广东,理科,2,652.0,650.0,651.0,普通招生,本科一批
919,919,315713,国际经济与贸易(国际组织人才基地班),2020,广东,理科,3,658.0,653.0,655.0,普通招生,本科一批
920,920,315714,金融学,2020,广东,理科,4,666.0,654.0,660.0,普通招生,本科一批
921,921,315715,金融工程,2020,广东,理科,2,654.0,653.0,653.0,普通招生,本科一批
922,922,315716,金融工程(量化金融实验班),2020,广东,理科,2,656.0,656.0,656.0,普通招生,本科一批
923,923,315717,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,广东,理科,8,653.0,641.0,645.0,普通招生,本科一批
924,924,315718,法学类(法学),2020,广东,理科,2,651.0,645.0,648.0,普通招生,本科一批
925,925,315719,数据科学与大数据技术,2020,广东,理科,4,643.0,641.0,642.0,普通招生,本科一批
926,926,315720,电子商务类(电子商务、信息管理与信息系统),2020,广东,理科,2,640.0,640.0,640.0,普通招生,本科一批
927,927,315721,精算学,2020,广东,理科,5,645.0,642.0,643.0,普通招生,本科一批
928,928,315722,金融数学,2020,广东,理科,3,647.0,644.0,646.0,普通招生,本科一批
929,929,315723,经济统计学,2020,广东,理科,2,648.0,646.0,647.0,普通招生,本科一批
