,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
387,387,373394,金融学类(金融学(国际金融与市场)、经济与金融),2021,新疆,文史/历史类,5,600.0,595.0,暂无数据,普通招生,本科一批
388,388,373395,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,新疆,文史/历史类,6,596.0,591.0,暂无数据,普通招生,本科一批
389,389,373396,外国语言文学类(商务英语、翻译、英语),2021,新疆,文史/历史类,3,588.0,586.0,暂无数据,普通招生,本科一批
390,390,373397,法学类(法学),2021,新疆,文史/历史类,3,595.0,592.0,暂无数据,普通招生,本科一批
391,391,373398,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),2021,新疆,文史/历史类,3,587.0,585.0,暂无数据,普通招生,本科一批
392,392,373399,网络与新媒体,2021,新疆,文史/历史类,2,590.0,589.0,暂无数据,普通招生,本科一批
393,393,373400,政治学类(国际政治、政治学与行政学),2021,新疆,文史/历史类,2,590.0,590.0,暂无数据,普通招生,本科一批
394,394,373401,经济学类(国际经济与贸易、财政学、税收学),2021,新疆,理工/物理类,5,598.0,591.0,暂无数据,普通招生,本科一批
395,395,373402,金融学类(金融学(国际金融与市场)、经济与金融),2021,新疆,理工/物理类,4,610.0,598.0,暂无数据,普通招生,本科一批
396,396,373403,金融工程,2021,新疆,理工/物理类,2,611.0,607.0,暂无数据,普通招生,本科一批
397,397,373404,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,新疆,理工/物理类,5,586.0,580.0,暂无数据,普通招生,本科一批
398,398,373405,法学类(法学),2021,新疆,理工/物理类,2,587.0,585.0,暂无数据,普通招生,本科一批
399,399,373406,电子商务类(电子商务、信息管理与信息系统),2021,新疆,理工/物理类,3,587.0,580.0,暂无数据,普通招生,本科一批
400,400,373407,保险学,2021,新疆,理工/物理类,4,579.0,578.0,暂无数据,普通招生,本科一批
401,401,373408,精算学,2021,新疆,理工/物理类,4,615.0,588.0,暂无数据,普通招生,本科一批
402,402,373409,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),2021,新疆,理工/物理类,0,,,暂无数据,普通招生,本科一批
