,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
725,725,315213,经济学类(国际经济与贸易、财政学、税收学),2020,江西,文科,3,622.0,615.0,618.0,普通招生,本科一批
726,726,315214,金融学类(金融学(国际金融与市场)、经济与金融),2020,江西,文科,3,618.0,615.0,617.0,普通招生,本科一批
727,727,315215,金融学,2020,江西,文科,2,619.0,617.0,618.0,普通招生,本科一批
728,728,315216,投资学,2020,江西,文科,2,614.0,614.0,614.0,普通招生,本科一批
729,729,315217,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,江西,文科,6,614.0,613.0,613.0,普通招生,本科一批
730,730,315218,法学类(法学),2020,江西,文科,3,620.0,614.0,616.0,普通招生,本科一批
731,731,315219,保险学,2020,江西,文科,1,613.0,613.0,613.0,普通招生,本科一批
732,732,315220,政治学类(国际政治、政治学与行政学),2020,江西,文科,2,612.0,612.0,612.0,普通招生,本科一批
733,733,315544,经济学类(国际经济与贸易、财政学、税收学),2020,江西,理科,2,651.0,649.0,650.0,普通招生,本科一批
734,734,315545,金融学类(金融学(国际金融与市场)、经济与金融),2020,江西,理科,2,654.0,649.0,651.0,普通招生,本科一批
735,735,315546,金融学,2020,江西,理科,2,648.0,646.0,647.0,普通招生,本科一批
736,736,315547,金融工程,2020,江西,理科,2,639.0,638.0,638.0,普通招生,本科一批
737,737,315548,金融工程(量化金融实验班),2020,江西,理科,2,650.0,632.0,641.0,普通招生,本科一批
738,738,315549,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,江西,理科,4,643.0,622.0,633.0,普通招生,本科一批
739,739,315550,法学类(法学),2020,江西,理科,2,635.0,618.0,626.0,普通招生,本科一批
740,740,315551,数据科学与大数据技术,2020,江西,理科,2,641.0,640.0,640.0,普通招生,本科一批
741,741,315552,电子商务类(电子商务、信息管理与信息系统),2020,江西,理科,3,619.0,609.0,613.0,普通招生,本科一批
742,742,315553,保险学,2020,江西,理科,2,620.0,608.0,614.0,普通招生,本科一批
743,743,315554,精算学,2020,江西,理科,3,641.0,617.0,629.0,普通招生,本科一批
744,744,315555,政治学类(国际政治、政治学与行政学),2020,江西,理科,1,607.0,607.0,607.0,普通招生,本科一批
745,745,315556,金融数学,2020,江西,理科,2,630.0,628.0,629.0,普通招生,本科一批
