,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1691,1691,230146,国际经济与贸易(国际组织人才基地班),2019,海南,文科,1,797.0,797.0,797.0,普通招生,本科一批
1692,1692,230147,金融学类(金融学(国际金融与市场)、经济与金融),2019,海南,文科,1,816.0,816.0,816.0,普通招生,本科一批
1693,1693,230148,金融学类(金融学、金融工程、投资学),2019,海南,文科,1,793.0,793.0,793.0,普通招生,本科一批
1694,1694,230149,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,海南,文科,2,814.0,813.0,813.0,普通招生,本科一批
1695,1695,230150,法学类(法学),2019,海南,文科,2,819.0,784.0,801.0,普通招生,本科一批
1696,1696,230151,公共管理类(海关管理、行政管理、公共事业管理),2019,海南,文科,2,793.0,783.0,788.0,普通招生,本科一批
1697,1697,230414,国际经济与贸易(国际组织人才基地班),2019,海南,理科,1,805.0,805.0,805.0,普通招生,本科一批
1698,1698,230415,金融学类(金融学(国际金融与市场)、经济与金融),2019,海南,理科,2,804.0,795.0,789.0,普通招生,本科一批
1699,1699,230416,金融学类(金融学、金融工程、投资学),2019,海南,理科,3,796.0,783.0,790.0,普通招生,本科一批
1700,1700,230417,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,海南,理科,2,802.0,781.0,791.0,普通招生,本科一批
1701,1701,230418,精算学,2019,海南,理科,2,798.0,786.0,792.0,普通招生,本科一批
