,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
859,859,315073,法语,2020,湖南,文科,1,636.0,636.0,636.0,普通招生,提前批
860,860,315074,德语,2020,湖南,文科,1,636.0,636.0,636.0,普通招生,提前批
861,861,315075,意大利语,2020,湖南,文科,1,633.0,633.0,633.0,普通招生,提前批
862,862,315076,朝鲜语,2020,湖南,文科,1,632.0,632.0,632.0,普通招生,提前批
863,863,315077,西班牙语,2020,湖南,文科,1,635.0,635.0,635.0,普通招生,提前批
864,864,315078,波斯语,2020,湖南,文科,1,633.0,633.0,633.0,普通招生,提前批
865,865,315303,经济学类(国际经济与贸易、财政学、税收学),2020,湖南,文科,2,639.0,638.0,638.0,普通招生,本科一批
866,866,315304,金融学类(金融学(国际金融与市场)、经济与金融),2020,湖南,文科,2,642.0,641.0,641.0,普通招生,本科一批
867,867,315305,金融学,2020,湖南,文科,2,643.0,642.0,642.0,普通招生,本科一批
868,868,315306,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,湖南,文科,5,641.0,635.0,637.0,普通招生,本科一批
869,869,315307,外国语言文学类(商务英语、翻译、英语),2020,湖南,文科,2,635.0,634.0,633.0,普通招生,本科一批
870,870,315308,法学类(法学),2020,湖南,文科,3,636.0,634.0,634.0,普通招生,本科一批
871,871,315309,公共管理类(海关管理、行政管理、公共事业管理),2020,湖南,文科,3,634.0,633.0,633.0,普通招生,本科一批
872,872,315310,中国语言文学类(汉语国际教育、汉语言文学),2020,湖南,文科,1,633.0,633.0,633.0,普通招生,本科一批
873,873,315311,政治学类(国际政治、政治学与行政学),2020,湖南,文科,2,633.0,633.0,633.0,普通招生,本科一批
874,874,315421,外国语言文学类(商务英语、翻译、英语),2020,湖南,文科,1,633.0,633.0,633.0,国家专项,国家专项
875,875,315422,公共管理类(海关管理、行政管理、公共事业管理),2020,湖南,文科,1,634.0,634.0,634.0,国家专项,国家专项
876,876,315423,劳动与社会保障,2020,湖南,文科,1,633.0,633.0,633.0,国家专项,国家专项
877,877,315424,中国语言文学类(汉语国际教育、汉语言文学),2020,湖南,文科,1,634.0,634.0,634.0,国家专项,国家专项
878,878,315425,政治学类(国际政治、政治学与行政学),2020,湖南,文科,1,634.0,634.0,634.0,国家专项,国家专项
879,879,315465,德语,2020,湖南,理科,1,647.0,647.0,647.0,普通招生,提前批
880,880,315466,意大利语,2020,湖南,理科,1,645.0,645.0,645.0,普通招生,提前批
881,881,315633,经济学类(国际经济与贸易、财政学、税收学),2020,湖南,理科,2,656.0,654.0,655.0,普通招生,本科一批
882,882,315634,金融学类(金融学(国际金融与市场)、经济与金融),2020,湖南,理科,2,655.0,653.0,654.0,普通招生,本科一批
883,883,315635,金融学,2020,湖南,理科,2,653.0,653.0,653.0,普通招生,本科一批
884,884,315636,金融工程,2020,湖南,理科,2,653.0,652.0,652.0,普通招生,本科一批
885,885,315637,投资学,2020,湖南,理科,2,653.0,650.0,651.0,普通招生,本科一批
886,886,315638,金融工程(量化金融实验班),2020,湖南,理科,2,663.0,657.0,660.0,普通招生,本科一批
887,887,315639,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,湖南,理科,4,656.0,648.0,651.0,普通招生,本科一批
888,888,315640,法学类(法学),2020,湖南,理科,1,650.0,650.0,650.0,普通招生,本科一批
889,889,315641,数据科学与大数据技术,2020,湖南,理科,3,650.0,650.0,650.0,普通招生,本科一批
890,890,315642,电子商务类(电子商务、信息管理与信息系统),2020,湖南,理科,2,649.0,647.0,648.0,普通招生,本科一批
891,891,315643,保险学,2020,湖南,理科,1,649.0,649.0,暂无数据,普通招生,本科一批
892,892,315644,精算学,2020,湖南,理科,4,657.0,651.0,653.0,普通招生,本科一批
893,893,315645,金融数学,2020,湖南,理科,2,654.0,653.0,653.0,普通招生,本科一批
894,894,315780,经济学类(国际经济与贸易、财政学、税收学),2020,湖南,理科,1,655.0,655.0,655.0,国家专项,国家专项
895,895,315781,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,湖南,理科,1,648.0,648.0,648.0,国家专项,国家专项
896,896,315782,公共管理类(海关管理、行政管理、公共事业管理),2020,湖南,理科,2,633.0,631.0,632.0,国家专项,国家专项
897,897,315783,电子商务类(电子商务、信息管理与信息系统),2020,湖南,理科,2,647.0,647.0,647.0,国家专项,国家专项
