,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1085,1085,315284,经济学类(国际经济与贸易、财政学、税收学),2020,甘肃,文科,2,625.0,624.0,624.5,普通招生,本科一批
1086,1086,315285,金融学类(金融学(国际金融与市场)、经济与金融),2020,甘肃,文科,2,629.0,627.0,628.0,普通招生,本科一批
1087,1087,315286,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,甘肃,文科,4,626.0,622.0,623.5,普通招生,本科一批
1088,1088,315287,外国语言文学类(商务英语、翻译、英语),2020,甘肃,文科,2,620.0,620.0,620.0,普通招生,本科一批
1089,1089,315288,法学类(法学),2020,甘肃,文科,3,623.0,622.0,622.3,普通招生,本科一批
1090,1090,315289,保险学,2020,甘肃,文科,1,622.0,622.0,622.0,普通招生,本科一批
1091,1091,315290,政治学类(国际政治、政治学与行政学),2020,甘肃,文科,3,621.0,620.0,620.7,普通招生,本科一批
1092,1092,315620,经济学类(国际经济与贸易、财政学、税收学),2020,甘肃,理科,3,620.0,618.0,619.0,普通招生,本科一批
1093,1093,315621,金融学类(金融学(国际金融与市场)、经济与金融),2020,甘肃,理科,1,623.0,623.0,623.0,普通招生,本科一批
1094,1094,315622,金融学,2020,甘肃,理科,2,632.0,625.0,628.5,普通招生,本科一批
1095,1095,315623,投资学,2020,甘肃,理科,2,621.0,620.0,620.5,普通招生,本科一批
1096,1096,315624,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,甘肃,理科,3,617.0,615.0,616.3,普通招生,本科一批
1097,1097,315625,法学类(法学),2020,甘肃,理科,1,613.0,613.0,613.0,普通招生,本科一批
1098,1098,315626,数据科学与大数据技术,2020,甘肃,理科,1,629.0,629.0,629.0,普通招生,本科一批
1099,1099,315627,电子商务类(电子商务、信息管理与信息系统),2020,甘肃,理科,3,614.0,613.0,613.7,普通招生,本科一批
1100,1100,315628,精算学,2020,甘肃,理科,3,623.0,615.0,619.7,普通招生,本科一批
