,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
154,154,373643,经济学类(国际经济与贸易、财政学、税收学),2021,福建,文史/历史类,6,615.0,608.0,暂无数据,普通招生,本科一批
155,155,373644,国际商务,2021,福建,文史/历史类,2,605.0,605.0,暂无数据,普通招生,本科一批
156,156,373645,金融学,2021,福建,文史/历史类,5,615.0,605.0,暂无数据,普通招生,本科一批
157,157,373646,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,福建,文史/历史类,7,610.0,604.0,暂无数据,普通招生,本科一批
158,158,373647,法学类(法学),2021,福建,文史/历史类,5,618.0,606.0,暂无数据,普通招生,本科一批
159,159,373648,网络与新媒体,2021,福建,文史/历史类,2,606.0,605.0,暂无数据,普通招生,本科一批
160,160,373649,国际经济与贸易(国际组织人才基地班),2021,福建,理工/物理类,4,638.0,631.0,暂无数据,普通招生,本科一批
161,161,373650,国际商务,2021,福建,理工/物理类,4,630.0,629.0,暂无数据,普通招生,本科一批
162,162,373651,金融学,2021,福建,理工/物理类,7,635.0,630.0,暂无数据,普通招生,本科一批
163,163,373652,金融工程(量化金融实验班),2021,福建,理工/物理类,3,640.0,636.0,暂无数据,普通招生,本科一批
164,164,373653,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,福建,理工/物理类,6,633.0,630.0,暂无数据,普通招生,本科一批
165,165,373654,数据科学与大数据技术,2021,福建,理工/物理类,3,635.0,629.0,暂无数据,普通招生,本科一批
166,166,373655,精算学,2021,福建,理工/物理类,4,630.0,629.0,暂无数据,普通招生,本科一批
167,167,373656,金融数学,2021,福建,理工/物理类,2,634.0,630.0,暂无数据,普通招生,本科一批
