,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
64,64,373450,经济学类(国际经济与贸易、财政学、税收学),2021,辽宁,文史/历史类,4,648.0,645.0,暂无数据,普通招生,本科一批
65,65,373451,金融学,2021,辽宁,文史/历史类,6,649.0,646.0,暂无数据,普通招生,本科一批
66,66,373452,投资学,2021,辽宁,文史/历史类,3,645.0,644.0,暂无数据,普通招生,本科一批
67,67,373453,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,辽宁,文史/历史类,9,644.0,638.0,暂无数据,普通招生,本科一批
68,68,373454,法学类(法学),2021,辽宁,文史/历史类,4,648.0,642.0,暂无数据,普通招生,本科一批
69,69,373455,保险学,2021,辽宁,文史/历史类,2,641.0,639.0,暂无数据,普通招生,本科一批
70,70,373456,经济学类(国际经济与贸易、财政学、税收学),2021,辽宁,理工/物理类,3,673.0,663.0,暂无数据,普通招生,本科一批
71,71,373457,金融学,2021,辽宁,理工/物理类,7,671.0,665.0,暂无数据,普通招生,本科一批
72,72,373458,金融工程,2021,辽宁,理工/物理类,4,670.0,668.0,暂无数据,普通招生,本科一批
73,73,373459,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,辽宁,理工/物理类,4,656.0,653.0,暂无数据,普通招生,本科一批
74,74,373460,数据科学与大数据技术,2021,辽宁,理工/物理类,3,656.0,655.0,暂无数据,普通招生,本科一批
75,75,373461,电子商务类(电子商务、信息管理与信息系统),2021,辽宁,理工/物理类,3,654.0,652.0,暂无数据,普通招生,本科一批
76,76,373462,精算学,2021,辽宁,理工/物理类,4,658.0,656.0,暂无数据,普通招生,本科一批
77,77,373463,金融数学,2021,辽宁,理工/物理类,3,669.0,665.0,暂无数据,普通招生,本科一批
78,78,373464,经济统计学,2021,辽宁,理工/物理类,3,662.0,661.0,暂无数据,普通招生,本科一批
