,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
281,281,373489,经济学类(国际经济与贸易、财政学、税收学),2021,重庆,文史/历史类,2,640.0,639.0,暂无数据,普通招生,本科一批
282,282,373490,金融学类(金融学(国际金融与市场)、经济与金融),2021,重庆,文史/历史类,4,640.0,639.0,暂无数据,普通招生,本科一批
283,283,373491,投资学,2021,重庆,文史/历史类,3,638.0,636.0,暂无数据,普通招生,本科一批
284,284,373492,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,重庆,文史/历史类,6,638.0,635.0,暂无数据,普通招生,本科一批
285,285,373493,法学类(法学),2021,重庆,文史/历史类,4,640.0,638.0,暂无数据,普通招生,本科一批
286,286,373494,保险学,2021,重庆,文史/历史类,2,634.0,634.0,暂无数据,普通招生,本科一批
287,287,373495,经济学类(国际经济与贸易、财政学、税收学),2021,重庆,理工/物理类,3,664.0,657.0,暂无数据,普通招生,本科一批
288,288,373496,金融学类(金融学(国际金融与市场)、经济与金融),2021,重庆,理工/物理类,5,661.0,658.0,暂无数据,普通招生,本科一批
289,289,373497,金融工程,2021,重庆,理工/物理类,2,660.0,657.0,暂无数据,普通招生,本科一批
290,290,373498,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,重庆,理工/物理类,3,660.0,656.0,暂无数据,普通招生,本科一批
291,291,373499,投资学,2021,重庆,理工/物理类,3,656.0,655.0,暂无数据,普通招生,本科一批
292,292,373500,电子商务类(电子商务、信息管理与信息系统),2021,重庆,理工/物理类,3,655.0,654.0,暂无数据,普通招生,本科一批
293,293,373501,保险学,2021,重庆,理工/物理类,2,657.0,656.0,暂无数据,普通招生,本科一批
294,294,373502,统计学,2021,重庆,理工/物理类,2,657.0,656.0,暂无数据,普通招生,本科一批
295,295,373503,精算学,2021,重庆,理工/物理类,3,657.0,655.0,暂无数据,普通招生,本科一批
