,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1060,1060,315322,经济学类(国际经济与贸易、财政学、税收学),2020,陕西,文科,2,659.0,651.0,655.0,普通招生,本科一批
1061,1061,315323,金融学类(金融学(国际金融与市场)、经济与金融),2020,陕西,文科,2,661.0,656.0,658.0,普通招生,本科一批
1062,1062,315324,金融学,2020,陕西,文科,2,655.0,654.0,654.0,普通招生,本科一批
1063,1063,315325,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,陕西,文科,2,651.0,650.0,650.0,普通招生,本科一批
1064,1064,315326,外国语言文学类(商务英语、翻译、英语),2020,陕西,文科,2,651.0,649.0,650.0,普通招生,本科一批
1065,1065,315327,法学类(法学),2020,陕西,文科,3,649.0,645.0,647.0,普通招生,本科一批
1066,1066,315328,保险学,2020,陕西,文科,2,652.0,645.0,648.0,普通招生,本科一批
1067,1067,315426,外国语言文学类(商务英语、翻译、英语),2020,陕西,文科,1,631.0,631.0,631.0,国家专项,国家专项
1068,1068,315427,法学类(法学),2020,陕西,文科,1,629.0,629.0,629.0,国家专项,国家专项
1069,1069,315428,公共管理类(海关管理、行政管理、公共事业管理),2020,陕西,文科,1,628.0,628.0,628.0,国家专项,国家专项
1070,1070,315429,劳动与社会保障,2020,陕西,文科,1,626.0,626.0,626.0,国家专项,国家专项
1071,1071,315430,中国语言文学类(汉语国际教育、汉语言文学),2020,陕西,文科,1,627.0,627.0,627.0,国家专项,国家专项
1072,1072,315431,政治学类(国际政治、政治学与行政学),2020,陕西,文科,1,634.0,634.0,634.0,国家专项,国家专项
1073,1073,315659,经济学类(国际经济与贸易、财政学、税收学),2020,陕西,理科,2,663.0,663.0,663.0,普通招生,本科一批
1074,1074,315660,金融学,2020,陕西,理科,3,668.0,667.0,667.0,普通招生,本科一批
1075,1075,315661,金融工程,2020,陕西,理科,2,671.0,667.0,669.0,普通招生,本科一批
1076,1076,315662,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,陕西,理科,2,665.0,661.0,663.0,普通招生,本科一批
1077,1077,315663,数据科学与大数据技术,2020,陕西,理科,4,662.0,660.0,660.0,普通招生,本科一批
1078,1078,315664,精算学,2020,陕西,理科,3,666.0,664.0,665.0,普通招生,本科一批
1079,1079,315784,经济学类(国际经济与贸易、财政学、税收学),2020,陕西,理科,1,629.0,629.0,629.0,国家专项,国家专项
1080,1080,315785,物流管理,2020,陕西,理科,1,622.0,622.0,622.0,国家专项,国家专项
1081,1081,315786,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,陕西,理科,1,623.0,623.0,623.0,国家专项,国家专项
1082,1082,315787,外国语言文学类(商务英语、翻译、英语),2020,陕西,理科,1,620.0,620.0,620.0,国家专项,国家专项
1083,1083,315788,公共管理类(海关管理、行政管理、公共事业管理),2020,陕西,理科,2,621.0,612.0,616.0,国家专项,国家专项
1084,1084,315789,电子商务类(电子商务、信息管理与信息系统),2020,陕西,理科,2,619.0,618.0,618.0,国家专项,国家专项
