,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
91,91,373617,经济学类(国际经济与贸易、财政学、税收学),2021,黑龙江,文史/历史类,3,625.0,618.0,暂无数据,普通招生,本科一批
92,92,373618,金融学类(金融学(国际金融与市场)、经济与金融),2021,黑龙江,文史/历史类,3,632.0,628.0,暂无数据,普通招生,本科一批
93,93,373619,投资学,2021,黑龙江,文史/历史类,3,616.0,611.0,暂无数据,普通招生,本科一批
94,94,373620,法学类(法学),2021,黑龙江,文史/历史类,4,625.0,610.0,暂无数据,普通招生,本科一批
95,95,373621,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,黑龙江,文史/历史类,3,625.0,617.0,暂无数据,普通招生,本科一批
96,96,373622,公共管理类(海关管理、行政管理、公共事业管理、文化产业管理),2021,黑龙江,文史/历史类,2,611.0,610.0,暂无数据,普通招生,本科一批
97,97,373623,金融学类(金融学(国际金融与市场)、经济与金融),2021,黑龙江,理工/物理类,5,634.0,621.0,暂无数据,普通招生,本科一批
98,98,373624,金融工程,2021,黑龙江,理工/物理类,3,646.0,622.0,暂无数据,普通招生,本科一批
99,99,373625,金融数学,2021,黑龙江,理工/物理类,2,620.0,620.0,暂无数据,普通招生,本科一批
100,100,373626,精算学,2021,黑龙江,理工/物理类,3,620.0,617.0,暂无数据,普通招生,本科一批
101,101,373627,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,黑龙江,理工/物理类,4,620.0,615.0,暂无数据,普通招生,本科一批
102,102,373628,电子商务类(电子商务、信息管理与信息系统),2021,黑龙江,理工/物理类,4,619.0,612.0,暂无数据,普通招生,本科一批
